nōn,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.,relative,dactyl
vir,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
necātus est,3rd person,singular,perfect,indicative,not deponent,nominative,masculine,positive,participle,adverb,relative,dactyl
rērum,1st person,plural,present,indicative,active,genitive,feminine,positive,participle,adverb,relative,dactyl
contendit,3rd person,singular,perfect+present,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
ā,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.,relative,dactyl
facta est,3rd person,singular,perfect,indicative,not deponent+passive,nominative,feminine,positive,participle,adverb,relative,dactyl
ab,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.,relative,dactyl
et,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
Herculēs,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
idōneam,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
equī,1st person,singular,present,indicative,active,genitive+nominative,masculine,positive,participle,adverb,relative,dactyl
interfēcit,3rd person,singular,perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
morā,1st person,singular,present,indicative,active,ablative,feminine,positive,participle,adverb,relative,dactyl
facere,2nd person,singular,present,imperative,not deponent,nominative,masculine,positive,infinitive,adverb,relative,dactyl
magnā,1st person,singular,present,indicative,active,ablative,feminine,positive,participle,adverb,relative,dactyl
missus est,3rd person,singular,perfect,indicative,not deponent+passive,nominative,masculine,positive,participle,adverb,relative,dactyl
postquam,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
parāta sunt,3rd person,plural,perfect,indicative,passive,nominative,neuter,positive,participle,adverb,relative,dactyl
igitur,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,noun+adverb,relative,dactyl
deinde,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
obicī,1st person,singular,present,indicative,not deponent+passive,nominative,masculine,positive,infinitive,adverb,relative,dactyl
obiciēbat,3rd person,singular,imperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
eum,3rd person,singular,present,indicative,active,accusative,masculine,positive,participle,adverb,demonstrative,dactyl
affectī sunt,3rd person,plural,perfect,indicative,passive,nominative,masculine,positive,participle,adverb,relative,dactyl
Herculī,1st person,singular,present,indicative,active,dative,masculine,positive,participle,adverb,relative,dactyl
incolēbant,3rd person,plural,imperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
hoc,1st person,singular,present,indicative,active,nominative,neuter,positive,participle,adverb,demonstrative,dactyl
praemiīs,1st person,plural,present,indicative,active,ablative+dative,neuter,positive,participle,adverb,relative,dactyl
hominum,1st person,plural,present,indicative,active,genitive,masculine,positive,participle,adverb,relative,dactyl
nōlēbat,3rd person,singular,imperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
honōribus,1st person,plural,present,indicative,active,ablative+dative,masculine,positive,participle,adverb,relative,dactyl
is,3rd person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,demonstrative,dactyl
commūtātiō,1st person,singular,present,indicative,active,nominative,feminine,positive,participle,adverb,relative,dactyl
celeritāte,1st person,singular,present,indicative,active,ablative,feminine,positive,participle,adverb,relative,dactyl
enim,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
haec,1st person,singular,present,indicative,active,nominative,neuter+feminine,positive,participle,adverb,demonstrative,dactyl
nactus esset,3rd person,singular,pluperfect,subjunctive,deponent,nominative,masculine,positive,participle,adverb,relative,dactyl
ubi,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
nāvī,1st person,singular,present,indicative,active,ablative+dative,feminine,positive,participle,adverb,relative,dactyl
lītus,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl
mare,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl
ex,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.+preposition w/ abl.,relative,dactyl
Eurystheō,1st person,singular,present,indicative,active,ablative+dative,masculine,positive,participle,adverb,relative,dactyl
solvit,3rd person,singular,perfect+present,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
meritam,1st person,singular,perfect,indicative,not deponent+passive,accusative,feminine,positive,participle,adverb,relative,dactyl
jussit,3rd person,singular,perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
paulō post,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
commōtus,1st person,singular,perfect,indicative,not deponent+passive,nominative,masculine,positive,gerund+participle,adverb,relative,dactyl
ipse,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adjective+pronoun,intensive,dactyl
rediit,3rd person,singular,perfect,indicative,deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
referēbant,3rd person,plural,present,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
nāvem,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
sibi,3rd person,singular,present,indicative,active,dative,masculine,positive,participle,pronoun,reflexive,dactyl
sed,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
mīra,1st person,singular,present,indicative,active,accusative+nominative,neuter+feminine,positive,participle,adverb,relative,dactyl
vēnerant,3rd person,plural,pluperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
ille,1st person,singular,present,indicative,active,genitive,feminine+masculine,positive,participle,adverb,demonstrative,dactyl
in,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.+preposition w/ abl.,relative,dactyl
post,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.,relative,dactyl
etiam,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
susciperet,3rd person,singular,imperfect,subjunctive,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
īrā,1st person,singular,present,indicative,active,ablative,feminine,positive,participle,adverb,relative,dactyl
postulāvit,3rd person,singular,perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
necāverat,3rd person,singular,pluperfect,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
hī,1st person,plural,present,indicative,active,nominative,masculine,positive,participle,adverb,demonstrative,dactyl
tempestātem,1st person,plural,present,indicative,active,ablative+accusative,feminine,positive,participle,adverb,relative,dactyl
ē,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.,relative,dactyl
maximā,1st person,singular,present,indicative,active,ablative,feminine,superlative,participle,adverb,relative,dactyl
ad,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.,relative,dactyl
rediisset,3rd person,singular,pluperfect,subjunctive,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
equōs,1st person,plural,present,indicative,active,accusative,masculine,positive,participle,adverb,relative,dactyl
rēgnum,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl
īnsulā,1st person,singular,present,indicative,active,ablative,feminine,positive,participle,adverb,relative,dactyl
crūdēlissimus,1st person,singular,present,indicative,active,nominative,masculine,superlative,participle,adverb,relative,dactyl
equīs,1st person,plural,present,indicative,active,ablative+dative,masculine,positive,participle,adverb,relative,dactyl
autem,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
cum,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.+conjunction,relative,dactyl
nōllet,3rd person,singular,imperfect,subjunctive,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
nūntiāta essent,3rd person,plural,pluperfect,subjunctive,passive,nominative,neuter,positive,participle,adverb,relative,dactyl
redūceret,3rd person,singular,imperfect,subjunctive,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
regiōnem,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
ēius,3rd person,singular,present,indicative,active,genitive,masculine,positive,participle,adverb,demonstrative,dactyl
grātiam,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
multōs,1st person,plural,present,indicative,active,accusative,masculine,positive,participle,adverb,relative,dactyl
occupāvit,3rd person,singular,perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
tamen,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl
eam,3rd person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,demonstrative,dactyl
quī,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adjective+pronoun,interrogative,dactyl
illīs,1st person,plural,present,indicative,active,ablative+dative,masculine,positive,participle,adverb,demonstrative,dactyl
maximīs,1st person,plural,present,indicative,active,ablative+dative,masculine,superlative,participle,adverb,relative,dactyl
sine,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.,relative,dactyl
Thrāciam,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
omnēs,1st person,plural,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl
suppliciō,1st person,singular,present,indicative,active,ablative+dative,neuter,positive,participle,adverb,relative,dactyl
ut,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl
exposuit,3rd person,singular,perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl
rēgem,1st person,singular,present,indicative,active,accusative,masculine,positive,participle,adverb,relative,dactyl
trāderentur,3rd person,plural,imperfect,subjunctive,not deponent+passive,nominative,masculine,positive,participle,adverb,relative,dactyl
omnia,1st person,plural,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl
