et,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl

templō,1st person,singular,present,indicative,active,ablative,neuter,positive,participle,adverb,relative,dactyl

Apollinis,1st person,singular,present,indicative,active,genitive,masculine,positive,participle,adverb,relative,dactyl

erat,3rd person,singular,imperfect,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

nōmine,1st person,singular,present,indicative,active,ablative,neuter,positive,participle,adverb,relative,dactyl

haec,1st person,singular,present,indicative,active,accusative+nominative,neuter+feminine,positive,participle,adverb,demonstrative,dactyl

exposuit,3rd person,singular,perfect,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

Pȳthia,1st person,singular,present,indicative,active,nominative,feminine,positive,participle,adverb,relative,dactyl

fēmina,1st person,singular,present,indicative,active,nominative,feminine,positive,participle,adverb,relative,dactyl

ab,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ abl.,relative,dactyl

īre,1st person,singular,present,indicative,not deponent+active,nominative,masculine,positive,infinitive,adverb,relative,dactyl

ipsō,1st person,singular,present,indicative,active,ablative,neuter+masculine,positive,participle,pronoun,intensive,dactyl

dōnīs,1st person,plural,present,indicative,active,ablative+dative,neuter,positive,participle,adverb,relative,dactyl

autem,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

tantum,1st person,singular,present,indicative,active,accusative+nominative,neuter+masculine,positive,participle,adverb,relative,dactyl

magnopere,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

Apollinem,1st person,singular,present,indicative,active,accusative,masculine,positive,participle,adverb,relative,dactyl

ad,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.,relative,dactyl

plūrimīs,1st person,plural,present,indicative,active,ablative+dative,masculine,superlative,participle,adverb,relative,dactyl

cupiēbat,3rd person,singular,imperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl

cōnsilium,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl

neque,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl

hominibus,1st person,plural,present,indicative,active,ablative+dative,masculine,positive,participle,adverb,relative,dactyl

vēnit,3rd person,singular,perfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl

quaedam,1st person,singular,present,indicative,active,accusative+nominative,neuter+feminine,positive,participle,adjective+pronoun,relative,dactyl

igitur,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

omnium,1st person,plural,present,indicative,active,genitive,masculine,positive,participle,adverb,relative,dactyl

dābat,3rd person,singular,imperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl

Apolline,1st person,singular,present,indicative,active,ablative,masculine,positive,participle,adverb,relative,dactyl

expiāre,2nd person,singular,present,imperative,not deponent,nominative,masculine,positive,infinitive,adverb,relative,dactyl

ōrāculum,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl

scelus,1st person,singular,present,indicative,active,accusative+nominative,neuter,positive,participle,adverb,relative,dactyl

deī,1st person,singular,present,indicative,active,genitive+nominative,masculine,positive,participle,adverb,relative,dactyl

templum,1st person,singular,present,indicative,active,accusative,neuter,positive,participle,adverb,relative,dactyl

cōnstituit,3rd person,singular,perfect+present,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl

hūc,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

enim,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl

quī,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adjective+pronoun,interrogative+relative,dactyl

Herculēs,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

tum,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,conjunction,relative,dactyl

ibi,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

hōc,1st person,singular,present,indicative,active,dative,neuter+masculine,positive,participle,adverb,demonstrative,dactyl

in,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,preposition w/ acc.+preposition w/ abl.,relative,dactyl

tōtam,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,pronominal,dactyl

veniēbant,3rd person,plural,imperfect,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl

praecipuē,1st person,singular,present,indicative,active,nominative,masculine,positive,participle,adverb,relative,dactyl

hoc,1st person,singular,present,indicative,active,accusative,neuter,positive,participle,adverb,demonstrative,dactyl

rem,1st person,singular,present,indicative,active,accusative,feminine,positive,participle,adverb,relative,dactyl

eīs,3rd person,plural,present,indicative,active,ablative,masculine,positive,participle,adverb,demonstrative,dactyl

colēbat,3rd person,singular,present,indicative,not deponent+active,nominative,masculine,positive,participle,adverb,relative,dactyl

